iter	Passed	Remaining
929	2107	158
930	2108	156
931	2109	153
932	2110	151
933	2111	149
934	2112	146
935	2113	144
936	2114	142
937	2115	139
938	2117	137
939	2118	135
940	2120	132
941	2121	130
942	2122	128
943	2123	125
944	2124	123
945	2126	121
946	2127	119
947	2128	116
948	2129	114
949	2130	112
950	2131	109
951	2133	107
952	2134	105
953	2136	103
954	2137	100
955	2139	98
956	2140	96
957	2141	93
958	2142	91
959	2143	89
960	2144	87
961	2145	84
962	2146	82
963	2147	80
964	2149	77
965	2151	75
966	2152	73
967	2153	71
968	2154	68
969	2155	66
970	2156	64
971	2157	62
972	2159	59
973	2160	57
974	2161	55
975	2162	53
976	2164	50
977	2166	48
978	2167	46
979	2168	44
980	2169	42
981	2170	39
982	2171	37
983	2172	35
984	2173	33
985	2174	30
986	2175	28
987	2177	26
988	2178	24
989	2180	22
990	2181	19
991	2182	17
992	2183	15
993	2184	13
994	2185	10
995	2187	8
996	2188	6
997	2189	4
998	2190	2
999	2191	0
